hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
메르시,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,45.6,8.0,-1.0045943053368127,2.1972245773362196,0.0955056041512955,-0.5645543415415694,C
메이,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,54.0,6.3,1.1811253513736488,1.9878743481543455,-0.2090562053453923,0.6250527286860323,S
모이라,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,51.1,27.1,0.4265316603664658,3.3357695763397,1.7518559527752633,0.9566613773299848,S
미즈키,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,53.7,15.4,1.1030639350625615,2.797281334830153,0.9684655840723052,1.049224594666459,S
바스티온,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,49.1,10.2,-0.0938777817074536,2.4159137783010487,0.4136537094746974,0.1091348147654067,A
바티스트,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,43.9,5.4,-1.4469423310996452,1.8562979903656265,-0.4004729225456501,-1.0283545676780472,C
벤데타,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,49.4,2.7,-0.0158163653963664,1.308332819650179,-1.1976502869385606,-0.4885499340132441,B
벤처,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,50.9,2.4,0.3744907161590731,1.2237754316221157,-1.3206640099460836,-0.3035711742829896,B
브리기테,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,48.3,3.8,-0.3020415585370226,1.5686159179138452,-0.8189915594158969,-0.5088215588885723,B
소전,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,43.6,13.9,-1.5250037474107323,2.7013612129514133,0.8289214049199991,-0.5834336864784396,C
솔저: 76,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,50.8,19.8,0.3484702440553768,3.0349529867072724,1.314229277021869,0.7347738572419739,S
솜브라,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,46.7,2.7,-0.7183691121961567,1.308332819650179,-1.1976502869385606,-0.9100815820931184,C
시그마,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,50.1,11.5,0.1663269393295061,2.5257286443082556,0.5734119023913881,0.3291609245542589,A
시메트라,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,59.7,3.1,2.66429226128432,1.410986973710262,-1.0483094668445474,1.179251570032773,S
아나,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,47.9,22.2,-0.4061234469518061,3.1441522786722644,1.4730919354798264,0.3455627060208469,A
안란,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,51.2,12.6,0.4525521324701622,2.6100697927420065,0.6961110409707689,0.549975695870405,A
애쉬,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,48.1,6.4,-0.3540825027444134,2.0014800002101243,-0.1892627614801343,-0.2881546062387017,B
에코,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,42.6,3.1,-1.785208468447692,1.410986973710262,-1.0483094668445474,-1.4904488678064345,C
엠레,Damage,Bronze,antarctic-peninsula,남극 반도,2026-04-26,50.9,16.8,0.3744907161590731,2.8791984572980396,1.0876382601428287,0.6597497337525754,S
오리사,Tank,Bronze,antarctic-peninsula,남극 반도,2026-04-26,47.7,15.1,-0.4581643911591969,2.7788192719904172,0.941607054767202,0.1017441872113625,A
우양,Support,Bronze,antarctic-peninsula,남극 반도,2026-04-26,50.9,10.9,0.3744907161590731,2.4765384001174837,0.5018501475326905,0.4254344887085201,A
